URL,Size,OutLinks,ContentType
https://www.usatoday.com/sitemap/2014/august/,156134,141,text/html
https://www.usatoday.com/sitemap/2019/june/,155797,140,text/html
https://www.usatoday.com/sitemap/2014/february/,155731,138,text/html
https://www.usatoday.com/sitemap/2016/november/,156105,140,text/html
https://www.usatoday.com/tech/reviewedcom/reviews/,301331,193,text/html
https://www.usatoday.com/story/tech/reviewedcom/2019/11/15/22-things-you-need-if-youre-always-stressed/4186694002/,277497,229,text/html
https://www.usatoday.com/story/tech/reviewedcom/2020/02/04/10-common-winter-dangersand-tips-to-keep-you-safe/41139617/,271412,231,text/html
https://www.usatoday.com/money/usaandmain/,180348,111,text/html
https://www.usatoday.com/story/tech/reviewedcom/2019/04/08/the-best-places-to-buy-bathing-suits-online/39316179/,283035,253,text/html
https://www.usatoday.com/story/tech/reviewedcom/2019/08/21/20-amazing-products-you-need-to-practice-self-care/39991299/,282242,225,text/html
https://www.usatoday.com/story/tech/reviewedcom/2020/02/17/this-cabin-rental-service-is-a-game-changer-for-those-who-love-nature/41106335/,266550,189,text/html
https://www.usatoday.com/story/tech/reviewedcom/2020/01/16/14-cult-favorite-products-from-costco-that-are-worth-every-penny/41009825/,264929,207,text/html
https://www.usatoday.com/tech/reviewedcom/electronics/,298453,193,text/html
https://www.usatoday.com/story/opinion/2020/02/05/trump-impeachment-republicans-assure-future-corruption-column/4623912002/,127330,140,text/html
https://www.usatoday.com/story/news/politics/2020/02/18/trump-pardons-blagojevich-kerik-milkin-among-those-who-got-clemency/4795213002/,133255,145,text/html
https://www.usatoday.com/story/news/politics/2020/02/20/roger-stone-sentencing-hearing-underway/4798388002/,127977,151,text/html
https://www.usatoday.com/story/news/politics/2020/02/12/roger-stone-sentencing-willliam-barr-cements-role-trumps-defender-chief/4736636002/,125541,145,text/html
https://www.usatoday.com/story/news/politics/2020/01/29/probation-appropriate-sentence-michael-flynn-feds-say/4616301002/,114031,138,text/html
https://www.usatoday.com/story/news/politics/2020/02/19/dojs-reversal-roger-stone-sentencing-worries-prosecutors-judges/4805363002/,145888,154,text/html
https://www.usatoday.com/story/news/world/2019/11/19/julian-assange-wikileaks-founder-rape-investigation-dropped/4236803002/,120387,133,text/html
https://www.usatoday.com/story/news/politics/2020/02/18/roger-stone-crimes-committed-trump-falsely-says-stone-did-nothing/4792850002/,132049,166,text/html
https://www.usatoday.com/story/news/politics/2019/11/08/roger-stone-trial-steve-bannon-says-stone-access-point-wikileaks-trump-campaign-randy-credico/2517218001/,118105,138,text/html
https://www.usatoday.com/videos/news/nation/2019/04/12/julian-assange-journalist-criminal-hacker/3451152002/,152395,112,text/html
https://www.usatoday.com/story/news/politics/2020/02/19/julian-assange-wikileaks-founder-offered-pardon-trump-lawyer-says/4810561002/,117386,140,text/html
https://www.usatoday.com/picture-gallery/news/world/2019/04/11/wikileaks-founder-julian-assange-arrested-in-london/3433030002/,155444,110,text/html
https://www.usatoday.com/picture-gallery/travel/airline-news/2019/09/09/worlds-longest-direct-flights-these-15-routes-range-16-18-hours/2262934001/,161184,110,text/html
https://www.usatoday.com/picture-gallery/entertainment/celebrities/2020/02/23/naacp-image-awards-2020-stars-step-out-to-honor-black-excellence/4850818002/,156571,110,text/html
https://www.usatoday.com/picture-gallery/entertainment/celebrities/2020/01/16/celebrities-supporting-2020-presidential-candidates-election/4454600002/,199333,110,text/html
https://www.usatoday.com/story/entertainment/celebrities/2020/02/23/lizzo-just-mercy-blackish-win-top-honors-naacp-image-awards/4850217002/,119682,138,text/html
https://www.usatoday.com/story/entertainment/celebrities/2020/02/23/rihanna-calls-unity-fix-world-naacp-image-awards/4849797002/,116110,139,text/html
https://www.usatoday.com/videos/entertainment/2020/02/22/hbo-max-friends-reunion-original-cast/4841845002/,154167,112,text/html
https://www.usatoday.com/story/entertainment/celebrities/2020/02/22/girl-scout-cookies-jennifer-garner-ships-boxes-instagram-fans/4841613002/,117491,139,text/html
https://www.usatoday.com/story/entertainment/movies/2020/02/20/emma-latest-movie-puts-contemporary-spin-jane-austen/4808097002/,121660,136,text/html
